Date,Apple Stand Hour (count),Apple Stand Time (min),Headphone Audio Exposure (dBASPL),Step Count (count),Walking + Running Distance (km),Walking Asymmetry Percentage (%),Walking Speed (km/hr),Walking Step Length (cm) 
2017-06-08 00:00:00,,,,5888,3.19,,, 
2017-06-09 00:00:00,,,,17338,10.43,,, 
2017-06-10 00:00:00,,,,13581,7.87,,, 
2017-06-11 00:00:00,,,,1209,0.651,,, 
2017-06-12 00:00:00,,,,2733,1.64,,, 
2017-06-13 00:00:00,,,,8575,6.22,,, 
2017-06-14 00:00:00,,,,6576,4.44,,, 
2017-06-15 00:00:00,,,,4203,2.85,,, 
2017-06-16 00:00:00,,,,15858,11.68,,, 
2017-06-17 00:00:00,,,,184,0.113,,, 
2017-06-18 00:00:00,,,,2899,1.67,,, 
2017-06-19 00:00:00,,,,9927,5.95,,, 
2017-06-20 00:00:00,,,,7907,4.9,,, 
2017-06-21 00:00:00,,,,2768,1.56,,, 
2017-06-22 00:00:00,,,,422,0.245,,, 
2017-06-23 00:00:00,,,,7364,4.69,,, 
2017-06-24 00:00:00,,,,6494,4.4,,, 
2017-06-25 00:00:00,,,,352,0.221,,, 
2017-06-26 00:00:00,,,,11615,7.86,,, 
2017-06-27 00:00:00,,,,6769,4.3,,, 
2017-06-28 00:00:00,,,,4487,2.71,,, 
2017-06-29 00:00:00,,,,6115,3.37,,, 
2017-06-30 00:00:00,,,,6325,3.57,,, 
2017-07-01 00:00:00,,,,1454,0.891,,, 
2017-07-02 00:00:00,,,,4567,2.63,,, 
2017-07-03 00:00:00,,,,2402,1.32,,, 
2017-07-04 00:00:00,,,,13435,7.84,,, 
2017-07-05 00:00:00,,,,2628,1.67,,, 
2017-07-06 00:00:00,,,,2626,1.53,,, 
2017-07-07 00:00:00,,,,13448,7.68,,, 
2017-07-08 00:00:00,,,,9705,6.25,,, 
2017-07-09 00:00:00,,,,5487,3.49,,, 
2017-07-10 00:00:00,,,,6082,3.56,,, 
2017-07-11 00:00:00,,,,2669,1.59,,, 
2017-07-12 00:00:00,,,,4479,2.61,,, 
2017-07-13 00:00:00,,,,5950,3.44,,, 
2017-07-14 00:00:00,,,,9807,5.43,,, 
2017-07-15 00:00:00,,,,8104,4.62,,, 
2017-07-16 00:00:00,,,,1739,1.16,,, 
2017-07-17 00:00:00,,,,8590,4.98,,, 
2017-07-18 00:00:00,,,,3882,2.31,,, 
2017-07-19 00:00:00,,,,2380,1.34,,, 
2017-07-20 00:00:00,,,,1860,1.11,,, 
2017-07-21 00:00:00,,,,1912,1.11,,, 
2017-07-22 00:00:00,,,,9857,5.8,,, 
2017-07-23 00:00:00,,,,9340,5.04,,, 
2017-07-24 00:00:00,,,,1276,0.748,,, 
2017-07-25 00:00:00,,,,3603,2.04,,, 
2017-07-26 00:00:00,,,,4701,2.88,,, 
2017-07-27 00:00:00,,,,985,0.698,,, 
2017-07-28 00:00:00,,,,8713,5.29,,, 
2017-07-29 00:00:00,,,,13170,7.37,,, 
2017-07-30 00:00:00,,,,8936,5.08,,, 
2017-07-31 00:00:00,,,,2318,1.26,,, 
2017-08-01 00:00:00,,,,3545,2.11,,, 
2017-08-02 00:00:00,,,,11752,6.55,,, 
2017-08-03 00:00:00,,,,6437,3.72,,, 
2017-08-04 00:00:00,,,,3427,2.09,,, 
2017-08-05 00:00:00,,,,5388,3.14,,, 
2017-08-06 00:00:00,,,,6459,3.86,,, 
2017-08-07 00:00:00,,,,6578,3.49,,, 
2017-08-08 00:00:00,,,,21557,11.08,,, 
2017-08-09 00:00:00,,,,38106,20.77,,, 
2017-08-10 00:00:00,,,,21140,10.95,,, 
2017-08-11 00:00:00,,,,17603,9.25,,, 
2017-08-12 00:00:00,,,,22302,11.33,,, 
2017-08-13 00:00:00,,,,23489,11.94,,, 
2017-08-14 00:00:00,,,,26365,13.73,,, 
2017-08-15 00:00:00,,,,27790,15.27,,, 
2017-08-16 00:00:00,,,,33148,18.37,,, 
2017-08-17 00:00:00,,,,21606,12.43,,, 
2017-08-18 00:00:00,,,,29081,15.4,,, 
2017-08-19 00:00:00,,,,11215,6.61,,, 
2017-08-20 00:00:00,,,,9499,6.94,,, 
2017-08-21 00:00:00,,,,7020,4.82,,, 
2017-08-22 00:00:00,,,,4755,3.22,,, 
2017-08-23 00:00:00,,,,13990,8.37,,, 
2017-08-24 00:00:00,,,,11956,6.55,,, 
2017-08-25 00:00:00,,,,18985,11.74,,, 
2017-08-26 00:00:00,,,,5764,3.58,,, 
2017-08-27 00:00:00,,,,11546,6.34,,, 
2017-08-28 00:00:00,,,,7678,4.08,,, 
2017-08-29 00:00:00,,,,9875,5.24,,, 
2017-08-30 00:00:00,,,,14597,8.9,,, 
